date,time,artist,title,genre,deezer_link
2026-09-05,Live,The Shamen,Ebeneezer Goode,Unknown,https://www.deezer.com/track/2629683362
2026-09-05,12:59,PJ Harvey,Down By The Water,Unknown,https://www.deezer.com/track/1169910
2026-09-05,12:57,Everlast,Stones,Unknown,https://www.deezer.com/track/3911070751
2026-09-05,12:45,House of Pain,Jump Around,Unknown,https://www.deezer.com/track/1584589772
2026-09-05,12:37,Del Amitri,Roll To Me,Unknown,https://www.deezer.com/track/2528644
2026-09-05,12:34,Lisa Loeb & Nine Stories,Stay (I Missed You),Unknown,https://www.deezer.com/track/2090267
2026-09-05,12:12,The O’Jays,Now That We Found Love,Unknown,https://www.deezer.com/track/609006
2026-09-05,12:10,Texas,Summer Son,Unknown,https://www.deezer.com/track/2099312287
2026-09-05,12:04,Hanson,MMMBop,Unknown,https://www.deezer.com/track/88685889
2026-09-05,11:56,The Firm,Star Trekkin',Unknown,https://www.deezer.com/track/3430911301
2026-09-05,11:52,Simple Minds,Someone Somewhere In Summertime,Unknown,https://www.deezer.com/track/129310854
2026-09-05,11:48,Belinda Carlisle,Heaven Is A Place On Earth,Unknown,https://www.deezer.com/track/24968371
2026-09-05,11:43,DeBarge,Rhythm Of The Night,Unknown,https://www.deezer.com/track/75392184
2026-09-05,11:36,Queen,Hammer To Fall,Unknown,https://www.deezer.com/track/716513582
2026-09-05,11:35,Queen,A Kind Of Magic,Unknown,https://www.deezer.com/track/4092326581
2026-09-05,11:33,Queen,The Invisible Man,Unknown,https://www.deezer.com/track/716513572
2026-09-05,11:32,Queen,One Vision,Unknown,https://www.deezer.com/track/4091934321
2026-09-05,11:32,Queen,I Want It All,Unknown,https://www.deezer.com/track/716513482
2026-09-05,11:31,Queen,Flash,Unknown,https://www.deezer.com/track/4092336171
2026-09-05,11:30,Queen,Radio Ga Ga,Unknown,https://www.deezer.com/track/716513472
2026-09-05,11:29,Queen,Another One Bites The Dust,Unknown,https://www.deezer.com/track/4092324041
2026-09-05,11:26,Queen & David Bowie,Under Pressure,Unknown,https://www.deezer.com/track/4091932171
2026-09-05,11:25,Queen,I Want To Break Free,Unknown,https://www.deezer.com/track/716513492
2026-09-05,11:24,Queen,Who Wants To Live Forever,Unknown,https://www.deezer.com/track/4091936761
2026-09-05,11:18,Sinéad O’Connor,Mandinka,Unknown,https://www.deezer.com/track/1787569277
2026-09-05,11:13,The Smiths,Bigmouth Strikes Again,Unknown,https://www.deezer.com/track/416477062
2026-09-05,11:03,Frankie Goes to Hollywood,Rage Hard,Unknown,https://www.deezer.com/track/478187282
2026-09-05,10:50,Boy Meets Girl,Waiting For A Star To Fall,Unknown,https://www.deezer.com/track/471297912
2026-09-05,10:43,UB40,One In Ten,Unknown,https://www.deezer.com/track/3167610
2026-09-05,10:33,Jane Child,Don't Wanna Fall in Love,Unknown,https://www.deezer.com/track/752328
2026-09-05,10:29,Duran Duran,The Chauffeur (Blue Silver),Unknown,https://www.deezer.com/track/4127483
2026-09-05,10:28,The Specials,"Friday Night, Saturday Morning",Unknown,https://www.deezer.com/track/1787369037
2026-09-05,10:27,The Human League,Seconds,Unknown,https://www.deezer.com/track/3092938
2026-09-05,10:12,Pretenders,Message Of Love,Unknown,https://www.deezer.com/track/1519610712
2026-09-05,10:08,Prince,Batdance,Unknown,https://www.deezer.com/track/3917698
2026-09-05,10:04,Rob ’n’ Raz,Got to Get (feat. Leila K),Unknown,https://www.deezer.com/track/71060664
2026-09-05,09:54,Pete Heller,Big Love,Unknown,https://www.deezer.com/track/3232086521
2026-09-05,09:46,Joel Corry & MNEK,Head & Heart,Unknown,https://www.deezer.com/track/1006845912
2026-09-05,09:36,Mica Millar,Oh Freedom,Unknown,https://www.deezer.com/track/3879216161
2026-09-05,09:35,Fatboy Slim,"Right Here, Right Now",Unknown,https://www.deezer.com/track/15686769
2026-09-05,09:35,Stardust,Music Sounds Better With You,Unknown,https://www.deezer.com/track/695110942
2026-09-05,09:35,Corona,The Rhythm Of The Night,Unknown,https://www.deezer.com/track/3685508042
2026-09-05,09:27,Dizzee Rascal & Armand van Helden,Bonkers,Unknown,https://www.deezer.com/track/15640851
2026-09-05,09:20,Underworld,Born Slippy,Unknown,https://www.deezer.com/track/82265248
2026-09-05,09:14,Bruno Mars,Finesse (Remix) (feat. Cardi B),Unknown,https://www.deezer.com/track/444333332
2026-09-05,09:08,Remember Monday,Attention,Unknown,https://www.deezer.com/track/4158555402
2026-09-05,09:05,M People,One Night In Heaven,Unknown,https://www.deezer.com/track/600159
2026-09-05,08:58,David Guetta,Stay (Don't Go Away) (feat. RAYE),Unknown,https://www.deezer.com/track/675600272
2026-09-05,08:51,The O’Jays,Love Train,Unknown,https://www.deezer.com/track/13183903
2026-09-05,08:40,Lulu,I'm In Love Again,Unknown,https://www.deezer.com/track/4190967732
2026-09-05,08:31,Robbie Williams,Let Me Entertain You,Unknown,https://www.deezer.com/track/3087542
2026-09-05,08:21,Donna Summer,On The Radio,Unknown,https://www.deezer.com/track/487042452
2026-09-05,08:13,Jack Savoretti,The One,Unknown,https://www.deezer.com/track/4179418112
2026-09-05,08:05,Madonna,Beautiful Stranger,Unknown,https://www.deezer.com/track/5510722
2026-09-05,07:56,Blue,Too Close,Unknown,https://www.deezer.com/track/3152235
2026-09-05,07:53,Sugababes,Freak Like Me,Unknown,https://www.deezer.com/track/1104525
2026-09-05,07:50,Rednex,Cotton Eye Joe,Unknown,https://www.deezer.com/track/674051382
2026-09-05,07:42,James Blunt,Tastes Like Summer,Unknown,https://www.deezer.com/track/4183195462
2026-09-05,07:36,Baby D,Let Me Be Your Fantasy,Unknown,https://www.deezer.com/track/3703599522
2026-09-05,07:23,Chaka Khan,Chakzilla,Unknown,https://www.deezer.com/track/4061641781
2026-09-05,07:14,Barry Can't Swim,Dance Dance Dance!,Unknown,https://www.deezer.com/track/3953713231
2026-09-05,07:14,Texas,Say What You Want,Unknown,https://www.deezer.com/track/2099312577
2026-09-05,07:10,Pet Shop Boys & Dusty Springfield,What Have I Done To Deserve This?,Unknown,https://www.deezer.com/track/1912802437
2026-09-05,06:57,Phil Collins,You Can't Hurry Love,Unknown,https://www.deezer.com/track/134036220
2026-09-05,06:53,Natasha Bedingfield,Dot Dot Dot,Unknown,https://www.deezer.com/track/4174680872
2026-09-05,06:49,Livin’ Joy,Don't Stop Movin',Unknown,https://www.deezer.com/track/477388432
2026-09-05,06:45,Take That,Patience,Unknown,https://www.deezer.com/track/1574788
2026-09-05,06:42,Portugal. The Man,Feel It Still,Unknown,https://www.deezer.com/track/371593461
2026-09-05,06:32,Koe Wetzel & Ella Langley,Jaded,Unknown,https://www.deezer.com/track/4203392972
2026-09-05,06:17,Mike the Mechanics,Over My Shoulder,Unknown,https://www.deezer.com/track/89591963
2026-09-05,06:03,Gwen Stefani & Akon,The Sweet Escape,Unknown,https://www.deezer.com/track/7553575
2026-09-05,05:53,Train,"Hey, Soul Sister",Unknown,https://www.deezer.com/track/563683852
2026-09-05,05:40,D:Ream,Things Can Only Get Better,Unknown,https://www.deezer.com/track/3388506901
2026-09-05,05:36,The Human League,Don't You Want Me,Unknown,https://www.deezer.com/track/3092940
2026-09-05,05:23,KATSEYE,ANIMAL,Unknown,https://www.deezer.com/track/4159582602
2026-09-05,05:20,Ed Sheeran,Azizam,Unknown,https://www.deezer.com/track/3303979891
2026-09-05,05:13,Spice Girls,Who Do You Think You Are,Unknown,https://www.deezer.com/track/3133744
2026-09-05,05:10,Martin Garrix & U2,Fireflies,Unknown,https://www.deezer.com/track/4142452541
2026-09-05,05:03,Pharrell Williams,Happy,Unknown,https://www.deezer.com/track/701326562
2026-09-05,04:57,Lenny Kravitz,It Ain't Over 'til It's Over,Unknown,https://www.deezer.com/track/3151232
2026-09-05,04:51,Queen,We Are The Champions,Unknown,https://www.deezer.com/track/716513442
2026-09-05,04:46,KAROL G & Bruno Mars,Still,Unknown,https://www.deezer.com/track/4208859872
2026-09-05,04:35,Missy Elliott,Work It,Unknown,https://www.deezer.com/track/663571
2026-09-05,04:33,N.W.A,Express Yourself,Unknown,https://www.deezer.com/track/750107172
2026-09-05,04:31,Beyoncé,Naughty Girl,Unknown,https://www.deezer.com/track/609372
2026-09-05,04:29,Amerie,1 Thing,Unknown,https://www.deezer.com/track/2553109
2026-09-05,04:28,Jill Scott,Golden,Unknown,https://www.deezer.com/track/558529272
2026-09-05,04:27,OutKast,Ms Jackson,Unknown,https://www.deezer.com/track/963042
2026-09-05,04:26,Dr. Dre & Snoop Dogg,Nuthin' But A G Thang,Unknown,https://www.deezer.com/track/2132919007
2026-09-05,04:25,T.I.,Why You Wanna,Unknown,https://www.deezer.com/track/383740991
2026-09-05,04:25,50 Cent,In Da Club,Unknown,https://www.deezer.com/track/145429536
2026-09-05,04:24,Aaliyah,Try Again,Unknown,https://www.deezer.com/track/3380594501
2026-09-05,04:23,Mary J. Blige,Family Affair,Unknown,https://www.deezer.com/track/1161679
2026-09-05,04:23,Fat Joe,What's Luv? (feat. Ashanti),Unknown,https://www.deezer.com/track/3905124
2026-09-05,04:22,Eve,Who's That Girl?,Unknown,https://www.deezer.com/track/1089860
2026-09-05,04:21,TLC,No Scrubs,Unknown,https://www.deezer.com/track/1075781
2026-09-05,04:19,Frank Sinatra & Tony Bennett,"New York, New York",Unknown,https://www.deezer.com/track/139902529
2026-09-05,04:14,Nelly Furtado,I'm Like A Bird,Unknown,https://www.deezer.com/track/24165101
2026-09-05,04:10,Carly Rae Jepsen,Don't Leave Me On The Dance Floor,Unknown,https://www.deezer.com/track/4199642672
2026-09-05,04:03,Belinda Carlisle,We Want The Same Thing,Unknown,https://www.deezer.com/track/1853813587
2026-09-05,03:57,The Brand New Heavies,Midnight At The Oasis,Unknown,https://www.deezer.com/track/1349659832
2026-09-05,03:53,The Jacksons,I Want You Back,Unknown,https://www.deezer.com/track/3967022541
2026-09-05,03:50,Junior Senior,Move Your Feet,Unknown,https://www.deezer.com/track/597208142
2026-09-05,03:38,Blue,You Should Know,Unknown,https://www.deezer.com/track/71625026
2026-09-05,03:14,MIKA,Grace Kelly,Unknown,https://www.deezer.com/track/646870592
2026-09-05,03:03,Whitney Houston,So Emotional,Unknown,https://www.deezer.com/track/75981532
2026-09-05,02:58,Bob Marley & The Wailers,Buffalo Soldier,Unknown,https://www.deezer.com/track/2237439
2026-09-05,02:41,Ella Langley,Choosin' Texas,Unknown,https://www.deezer.com/track/3602074142
2026-09-05,02:37,Toby Lee,Work You Out,Unknown,https://www.deezer.com/track/4155115572
2026-09-05,02:03,David Guetta,When Love Takes Over (feat. Kelly Rowland),Unknown,https://www.deezer.com/track/2531104141
2026-09-05,01:50,Timbuk 3,"The Future's So Bright, I Gotta Wear Shades",Unknown,https://www.deezer.com/track/3235520
2026-09-05,01:49,Chris Stapleton,Joy Of My Life,Unknown,https://www.deezer.com/track/1133364482
2026-09-05,01:13,Elvis Presley,(Marie's the Name) His Latest Flame,Unknown,https://www.deezer.com/track/1055478
2026-09-05,00:56,The KLF,What Time Is Love?,Unknown,https://www.deezer.com/track/45715371
2026-09-05,00:52,Johnny Marr,It's Time,Unknown,https://www.deezer.com/track/4230399992
2026-09-05,00:33,Amy Winehouse,Tears Dry (Alternative Demo),Unknown,https://www.deezer.com/track/4230501602
2026-09-05,00:17,Scorpions,Wind Of Change,Unknown,https://www.deezer.com/track/927900
